sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Be,Co,Cr,Cs,Cu,Ga,Hf,K,Li,Mo,Nb,Ni,Pb,Rb,Sc,Sn,Sr,Ta,Th,Ti,U,V,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,latitude,longitude,elevation,tectonic_setting,station,expedition,sampling technique,rock type,alteration,reference,method
DST0041-001-A,glass,48.99,3.71,11.52,,,18.45,0.29,4.31,9.13,2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703129,0.513119,,,,0.71,-85.5,-2523,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-001,DE STEIGUER 41,dredge,"basalt, basalt; tholeiite(ref-444);, ",fresh,"Fisk,1982(4); Ito,1980(184)",EMP(2); MS(1377)
DST0041-001-A,whole rock,48.43,3.62,11.51,15.11,3.61,18.86,0.26,4.45,8.95,2.66,0.24,0.32,9.8,31.9,,29,10.2,2.9,,2.6,,,,1.8,10.7,1.5,31.9,,49,8,0.037,,,,1957,,,,,,4.13,48,,67.8,,,,,622,,,,0.7027,,,,,0.71,-85.5,-2523,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-001,DE STEIGUER 41,dredge,"basalt, basalt; tholeiite(ref-444);, ",fresh,"Schilling,1976(444); Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(846)
DST0041-002-A,glass,49.29,1.45,16.16,,,8.5,0.12,8.66,12.22,2.91,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,-85.12,-2798,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-002,DE STEIGUER 41,dredge,"basalt, basalt; tholeiite(ref-444);, ",,"Fisk,1982(4)",EMP(2)
DST0041-002-A,whole rock,49.55,1.41,16.58,7.44,1.15,8.47,0.15,8.64,11.57,2.77,0.08,0.21,3.8,13.4,,10.3,3.6,1.3,,0.9,,,,0.51,3.2,0.44,6.6,,43,378,0.004,,,,605,,,,,,0.575,43,,144.9,,,,,241,,,,0.70248,,,,,1.74,-85.12,-2798,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-002,DE STEIGUER 41,dredge,"basalt, basalt; tholeiite(ref-444);, ",,"Schilling,1976(444); Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(846)
DST0041-003-A,whole rock,50.95,1.23,15.84,7.16,2.7,9.59,0.17,6.18,12.46,2.33,0.15,0.11,1.5,7.1,,6.1,2.6,1,,0.8,,,,0.56,3.1,0.45,4.2,,38,293,0.028,,,,1173,,,,,,2.75,48,,68.6,,,,,330,,,,0.70279,,,,,1.04,-85.42,-1554,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-003,DE STEIGUER 41,dredge,"basalt, basalt; tholeiite(ref-444);, ",,"Schilling,1976(444); Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(846)
DST0041-005,glass,49.37,1.03,15.86,9.02,,8.87,0.11,8.91,12.32,2.31,0.07,,,,,6.44,2.26,,,,,,,,,,,,,,,,,,,,,,,0.358,0.95,,,71.31,,,,0.061,,,,,0.70264,0.51312,18.39,15.51,37.97,2.45,-95.62,-2750,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-005,DE STEIGUER 41,dredge,"basalt, basalt; tholeiite(ref-444);, glassy pillow basalt, sparsely plag-ol phyric; large rounded plag and ol phenocrysts, picotite as rounded corroded phenocrysts; plag, ol & picotite as smaller euhedral phenocrysts",fresh,"Cohen,1982(78); Fisk,1982(4)",EMP(2); EMP(622); MS(619); MS(620); MS-ID(621)
DST0041-005,whole rock,49.76,1.1,15.71,8.05,1.17,9.1,0.16,8.99,12.09,2.26,0.07,0.11,2.8,8.6,,,2.6,0.9,,0.7,,,,0.4,2.6,0.38,12.5,,49,445,0.036,,,,672,,,,,,1.29,44,,108,,,,,268,,,,0.70274,0.51311,,,,2.45,-95.62,-2750,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-005,DE STEIGUER 41,dredge,"basalt, basalt; tholeiite(ref-444);, glassy pillow basalt, sparsely plag-ol phyric; large rounded plag and ol phenocrysts, picotite as rounded corroded phenocrysts; plag, ol & picotite as smaller euhedral phenocrysts",fresh,"Schilling,1976(444); Schilling,1982(11); Verma,1982(3); Verma,1983(768)",INAA(30); MS(1146); MS(25); MS-ID(26); WET(846)
DST0041-008-A,glass,49.83,1.55,14.09,,,11.42,0.2,7.74,10.96,2.38,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,-95.33,-3136,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-008,DE STEIGUER 41,dredge,"basalt, basalt; tholeiite(ref-444);, cryptocrystalline",,"Fisk,1982(4)",EMP(2)
DST0041-008-A,whole rock,50.23,1.62,14.22,10.39,1.74,11.96,0.2,7.52,11.06,2.34,0.14,0.19,4.5,13.5,,10.7,4,1.4,,1.1,,,,0.81,4.4,0.61,30.2,,47,232,0.045,,,,1216,,,,,,3.19,46,,89.9,,,,,349,,,,0.7028,,,,,2.6,-95.33,-3136,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,DST0041-008,DE STEIGUER 41,dredge,"basalt, basalt; tholeiite(ref-444);, cryptocrystalline",,"Schilling,1976(444); Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(846)
TRI0164-001-002A,whole rock,50.13,1.89,13.56,11.01,2.25,,,6.37,11.01,2.52,0.14,0.17,4.9,15.1,,11.8,4.8,1.6,,1.2,,,,0.74,4.8,0.65,24.9,,48,60,0.03,,,,1342,,,,,,2.41,47,,82.5,,,,,458,,,,0.70273,,,,,0.74,-87.48,-2180,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-001,TR164,dredge,"basalt, basalt, cryptocrystalline",,"Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(29)
TRI0164-002-001,whole rock,50.06,2.16,13.48,11.74,2.57,,,5.78,10.24,2.84,0.28,0.25,8.2,22.9,,15,5.8,1.7,,1.3,,,,0.88,5.3,0.71,50.6,,49,53,0.072,,,,2520,,,,,,5.26,45,,104.3,,,,,462,,,,0.70282,,,,,0.72,-87.86,-2115,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-002,TR164,dredge,"basalt, basalt, cryptocrystalline",,"Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(29)
TRI0164-003-001B,whole rock,50.25,1.48,13.87,10.15,1.88,,,7.56,11.4,2.28,0.09,0.13,4.1,12.9,,11.8,3.8,1.4,,0.9,,,,0.82,4.7,0.54,18.5,,50,215,0.021,,,,880,,,,,,1.93,47,,66.6,,,,,373,,,,0.70267,,,,,0.73,-88.24,-1994,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-003,TR164,dredge,"basalt, basalt, cryptocrystalline",,"Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(29)
TRI0164-004-003B,whole rock,49.54,1.62,13.67,10.69,1.96,,,6.9,11.21,2.52,0.09,0.14,3.5,10.1,,8.6,3.8,1.4,,1,,,,0.68,4.5,0.58,17.3,,48,100,0.017,,,,983,,,,,,1.66,47,,74.6,,,,,410,,,,0.70265,,,,,0.75,-88.6,-1880,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-004,TR164,dredge,"basalt, basalt, cryptocrystalline",,"Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(29)
TRI0164-005-002,glass,49.5,1.54,14.03,,,11.24,0.19,7.17,11.56,2.61,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,-88.9,-1775,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-005,TR164,dredge,"basalt, basalt, cryptocrystalline to aphanitic",,"Fisk,1982(4)",EMP(2)
TRI0164-005-002,whole rock,50.1,1.51,14.53,9.45,2.08,,,7.27,12.13,2.58,0.11,0.15,4.5,14.4,,10.2,4,1.4,,0.9,,,,0.68,4.1,0.47,23.6,,46,204,0.021,,,,1058,,,,,,2.14,46,,90.6,,,,,357,,,,0.70276,0.51306,,,,0.78,-88.9,-1775,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-005,TR164,dredge,"basalt, basalt, cryptocrystalline to aphanitic",,"Schilling,1982(11); Verma,1982(3); Verma,1983(768)",INAA(30); MS(1146); MS(25); MS-ID(26); WET(29)
TRI0164-006-001,glass,49.33,2.15,14.59,,,10.37,0.16,6.29,10.61,3.1,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,-89.59,-1775,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-006,TR164,dredge,"basalt, basalt, ",,"Fisk,1982(4)",EMP(2)
TRI0164-006-001,whole rock,49.94,2.14,14.51,8.51,2.41,,,6.17,11,3.01,0.75,0.61,16.9,36.6,,21.4,6.3,2.1,,1.2,,,,1,3.9,0.6,162.5,,37,100,0.144,,,,5980,,,,,,13.11,40,,218.7,,,,,318,,,,0.70283,,,,,0.84,-89.59,-1775,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-006,TR164,dredge,"basalt, basalt, ",,"Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(29)
TRI0164-006-002,glass,49.44,1.51,14.16,,,11.3,0.2,7.47,11.73,2.59,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,-89.59,-1775,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-006,TR164,dredge,"basalt, basalt, ",,"Fisk,1982(4)",EMP(2)
TRI0164-006-002,whole rock,49.82,1.52,14.34,9.33,1.85,,,7.28,12,2.49,0.22,0.14,4.1,11.3,,9.4,3.8,1.3,,0.9,,,,0.57,3.3,0.5,23.9,,47,205,0.034,,,,1453,,,,,,2.22,47,,94.2,,,,,351,,,,0.70269,,,,,0.84,-89.59,-1775,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-006,TR164,dredge,"basalt, basalt, ",,"Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(29)
TRI0164-007-001,whole rock,49.55,1.6,14.9,7.53,4.39,,,7.19,12.12,2.63,0.16,0.15,5.7,16.6,,12.8,4.3,1.5,,1,,,,0.66,3.5,0.52,29.8,,47,180,0.027,,,,1358,,,,,,2.44,47,,98.1,,,,,351,,,,0.7029,0.51306,,,,0.86,-89.99,-1775,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-007,TR164,dredge,"basalt, basalt, cryptocrystalline",,"Schilling,1982(11); Verma,1982(3); Verma,1983(768)",INAA(30); MS(1146); MS(25); MS-ID(26); WET(29)
TRI0164-008-002,whole rock,49.42,2.28,13.3,12.61,1.53,,,5.46,10.44,3.13,0.4,0.25,10.4,28.7,,19.4,6,2,,1.3,,,,0.91,5.4,0.69,65,,46,287,0.054,,,,3430,,,,,,5.73,41,,101.3,,,,,441,,,,0.70298,,,,,0.91,-90.38,-1680,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-008,TR164,dredge,"basalt, basalt, aphanitic",,"Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(29)
TRI0164-009-001,glass,47.91,1.92,16.41,,,9.75,0.14,7.48,11.46,3.07,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,-90.5,-1555,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-009,TR164,dredge,"basalt, basalt, cryptocrystalline to aphanitic",,"Fisk,1982(4)",EMP(2)
TRI0164-009-001,whole rock,48.15,1.9,16.21,8.01,2.08,,,7.63,11.63,2.96,0.43,0.22,10.5,24.8,,16.9,5.1,1.7,,0.8,,,,0.6,2.8,0.44,84.1,,44,227,0.089,,,,3600,,,,,,6.52,37,,208.9,,,,,277,,,,0.70293,,,,,0.93,-90.5,-1555,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-009,TR164,dredge,"basalt, basalt, cryptocrystalline to aphanitic",,"Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(29)
TRI0164-010-001,glass,48.93,1.56,15.36,,,10.14,0.15,7.76,11.48,2.79,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,-91.81,-1945,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-010,TR164,dredge,"basalt, basalt, cryptocrystalline to aphanitic",,"Fisk,1982(4)",EMP(2)
TRI0164-010-001,whole rock,49.06,1.56,15.64,8.25,1.99,,,8,11.83,2.64,0.33,0.19,8,20.8,,15.1,4.4,1.5,,0.9,,,,0.71,3.3,0.47,64.1,,45,254,0.088,,,,2930,,,,,,5.89,40,,166.8,,,,,305,,,,0.70307,0.51299,,,,2.02,-91.81,-1945,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-010,TR164,dredge,"basalt, basalt, cryptocrystalline to aphanitic",,"Schilling,1982(11); Verma,1982(3); Verma,1983(768)",INAA(30); MS(1146); MS(25); MS-ID(26); WET(29)
TRI0164-011-001,glass,49.24,1.94,14.46,,,11.01,0.19,6.56,11.64,3.19,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,-92.24,-1815,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-011,TR164,dredge,"basalt, basalt, cryptocrystalline to aphanitic",,"Fisk,1982(4)",EMP(2)
TRI0164-011-001,whole rock,49.69,1.88,14.6,8.84,2.63,,,6.78,11.66,2.95,0.37,0.23,10.5,24.5,,18.3,5.4,1.8,,1.1,,,,0.84,3.9,0.52,77.1,,45,137,0.086,,,,3030,,,,,,5.83,48,,169.1,,,,,356,,,,0.70295,,,,,2.09,-92.24,-1815,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-011,TR164,dredge,"basalt, basalt, cryptocrystalline to aphanitic",,"Schilling,1982(11); Verma,1982(3)",INAA(30); MS(554); MS-ID(26); WET(29)
TRI0164-012-004,whole rock,50.01,1.37,14.93,8.68,1.87,,,7.53,12.42,2.47,0.17,0.14,4.5,14,,11.3,3.6,1.3,,0.8,,,,0.72,3.5,0.53,34.5,,45,108,0.05,,,,1557,,,,,,3.12,45,,105.2,,,,,327,,,,0.70292,0.51304,,,,2.25,-92.69,-1983,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-012,TR164,dredge,"basalt, basalt, cryptocrystalline",,"Schilling,1982(11); Verma,1982(3); Verma,1983(768)",INAA(30); MS(1146); MS(25); MS-ID(26); WET(29)
TRI0164-013-001,glass,50.26,1.49,13.99,,,11.48,0.18,7.34,11.52,2.44,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,-93.34,-2380,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-013,TR164,dredge,"basalt, basalt, cryptocrystalline",,"Fisk,1982(4)",EMP(2)
TRI0164-013-001,whole rock,50.42,1.46,13.68,9.95,1.91,,,7.16,11.72,2.35,0.18,0.15,5.5,15.9,,11.4,3.9,1.4,,1,,,,0.73,3.9,0.53,40.3,,48,145,0.055,,,,1562,,,,,,3.75,47,,90.5,,,,,389,,,,0.70305,0.51301,,,,2.42,-93.34,-2380,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-013,TR164,dredge,"basalt, basalt, cryptocrystalline",,"Schilling,1982(11); Verma,1982(3); Verma,1983(768)",INAA(30); MS(1146); MS(25); MS-ID(26); WET(29)
TRI0164-014-001,glass,49.95,1.64,13.58,,,12.17,0.2,6.6,11.09,2.55,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47,-93.76,-2213,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-014,TR164,dredge,"basalt, basalt, cryptocrystalline to aphanitic",,"Fisk,1982(4)",EMP(2)
TRI0164-014-001,whole rock,50.49,1.6,14.25,10.09,2.05,,,6.86,11.33,2.49,0.18,0.16,5.5,15.8,,13,4.3,1.4,,1.2,,,,0.67,4.3,0.51,38.3,,46,114,0.053,,,,1598,,,,,,3.61,45,,101.3,,,,,386,,,,0.7029,,,,,2.47,-93.76,-2213,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-014,TR164,dredge,"basalt, basalt, cryptocrystalline to aphanitic",,"Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(29)
TRI0164-015-003,whole rock,50.01,2.33,13.87,10.83,2.02,,,6.68,10.91,2.5,0.18,0.17,5.6,15.9,,,4.5,1.5,,1,,,,0.82,4.5,0.61,41,,48,91,0.044,,,,1568,,,,,,3.82,46,,89.9,,,,,439,,,,0.7029,0.51305,,,,2.52,-94.06,-2420,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-015,TR164,dredge,"basalt, basalt, cryptocrystalline",,"Schilling,1982(11); Verma,1982(3); Verma,1983(768)",INAA(30); MS(1146); MS(25); MS-ID(26); WET(29)
TRI0164-016-001,glass,50.73,1.62,14.03,,,11.9,0.21,6.91,11.06,2.51,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56,-94.45,-2380,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-016,TR164,dredge,"basalt, basalt, cryptocrystalline to aphanitic",,"Fisk,1982(4)",EMP(2)
TRI0164-016-001,whole rock,50.82,1.57,14.14,10.19,1.85,,,6.96,11.29,2.41,0.15,0.16,5,13.1,,,4,1.3,,1,,,,0.67,4.4,0.61,34.8,,44,408,0.035,,,,1386,,,,,,3.33,45,,86.8,,,,,383,,,,0.70269,,,,,2.56,-94.45,-2380,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-016,TR164,dredge,"basalt, basalt, cryptocrystalline to aphanitic",,"Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(29)
TRI0164-017-001,glass,50.66,1.78,13.82,,,12.55,0.18,6.87,10.7,2.52,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,-94.87,-2550,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-017,TR164,dredge,"basalt, basalt, glassy to cryptocrystalline",,"Fisk,1982(4)",EMP(2)
TRI0164-017-001,whole rock,50.31,1.77,13.69,10.8,1.96,,,7.01,10.93,2.48,0.19,0.18,6.5,16.8,,15.4,4.9,1.6,,1.1,,,,0.88,4.7,0.65,41.9,,48,156,0.045,,,,1576,,,,,,4.1,46,,93.4,,,,,425,,,,0.7028,0.51307,,,,2.57,-94.87,-2550,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-017,TR164,dredge,"basalt, basalt, glassy to cryptocrystalline",,"Schilling,1982(11); Verma,1982(3); Verma,1983(768)",INAA(30); MS(1146); MS(25); MS-ID(26); WET(29)
TRI0164-019-001,glass,49.28,1.11,15.48,,,9.33,0.17,8.55,12.34,2.31,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,-97.19,-3338,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-019,TR164,dredge,"basalt, basalt, cryptocrystalline to aphanitic",fresh,"Fisk,1982(4)",EMP(2)
TRI0164-019-001,whole rock,49.16,1.11,15.8,7.95,1.18,,,8.62,12.49,2.24,0.03,0.08,1.9,8.1,,7.1,2.7,1.1,,0.8,,,,,3.3,0.47,,,42,316,,,,,,,,,,,,41,,,,,,,252,,,,,,,,,2.12,-97.19,-3338,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-019,TR164,dredge,"basalt, basalt, cryptocrystalline to aphanitic",fresh,"Schilling,1982(11)",INAA(30); WET(29)
TRI0164-020-001,glass,49.71,1.15,15.34,,,9.33,0.16,8.78,12.16,2.39,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,-97.86,-3200,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-020,TR164,dredge,"basalt, basalt, cryptocrystalline to aphanitic",,"Fisk,1982(4)",EMP(2)
TRI0164-020-001,whole rock,50.16,1.23,15.67,7.87,1.64,,,8.55,11.98,2.34,0.06,0.11,2.6,8.6,,9.3,3.2,1.1,,0.7,,,,0.54,2.9,0.47,8.1,,44,257,0.029,,,,680,,,,,,1.02,42,,91.1,,,,,303,,,,0.70262,0.51308,,,,2.24,-97.86,-3200,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-020,TR164,dredge,"basalt, basalt, cryptocrystalline to aphanitic",,"Schilling,1982(11); Verma,1982(3); Verma,1983(768)",INAA(30); MS(1146); MS(25); MS-ID(26); WET(29)
TRI0164-023-002,glass,50.35,1.64,13.92,,,11.63,0.2,6.7,10.78,2.68,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,-92.9,-2115,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-023,TR164,dredge,"basalt, basalt, cryptocrystalline",,"Fisk,1982(4)",EMP(2)
TRI0164-023-002,whole rock,50.98,1.67,13.34,10.42,2.02,,,6.65,11.09,2.57,0.21,0.18,6.6,15.8,,14.4,4.5,1.5,,1.2,,,,0.83,4.3,0.53,49.7,,48,88,0.057,,,,1712,,,,,,4.49,47,,106.4,,,,,399,,,,0.70301,,,,,2.29,-92.9,-2115,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-023,TR164,dredge,"basalt, basalt, cryptocrystalline",,"Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(29)
TRI0164-024-003,glass,49.73,1.97,13.83,,,12.11,0.24,6.52,11.09,2.78,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,-91.24,-1675,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-024,TR164,dredge,"basalt, basalt, cryptocrystalline",,"Fisk,1982(4)",EMP(2)
TRI0164-024-003,whole rock,49.78,1.84,14.21,10.35,1.99,,,6.84,11.18,2.62,0.24,0.21,7.7,18.7,,18.8,5,1.8,,1.4,,,,0.85,4.3,0.64,59.5,,47,210,0.06,,,,2065,,,,,,5.12,46,,109.2,,,,,382,,,,0.70282,,,,,1.96,-91.24,-1675,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-024,TR164,dredge,"basalt, basalt, cryptocrystalline",,"Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(29)
TRI0164-025-001,glass,50.3,1.71,14.25,,,11.05,0.2,7.15,11.53,2.59,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,-91.18,-1988,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-025,TR164,dredge,"basalt, basalt, cryptocrystalline",,"Fisk,1982(4)",EMP(2)
TRI0164-025-001,whole rock,49.92,1.57,14.7,9.19,1.71,,,7.45,12.1,2.52,0.25,0.18,6.9,18,,14.1,4.1,1.5,,0.9,,,,0.66,3.5,0.45,58.8,,46,234,0.058,,,,2340,,,,,,5.06,47,,121.7,,,,,332,,,,0.70287,,,,,1.95,-91.18,-1988,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-025,TR164,dredge,"basalt, basalt, cryptocrystalline",,"Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(29)
TRI0164-025-002,glass,48.81,1.58,16.08,,,9.63,0.13,8.43,11.81,2.52,0.287,,7.9,18.7,,,4.1,1.3,,0.8,,,,,2.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,-91.18,-1988,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-025,TR164,dredge,"basalt, basalt, ",fresh,"Fisk,1982(4); Michael,1988(392); Michael,1995(409)",EMP(2); EMP(913); EMP(963); INAA(914)
TRI0164-025-002,whole rock,48.54,1.58,16.1,7.9,1.87,,,8.25,12.24,2.41,0.38,0.26,7.9,18.7,,11.8,4.1,1.3,,0.8,,,,,2.5,0.3,64.3,,46,292,0.062,,,,2890,,,,,,5.44,38,,204.1,,,,,269,,,,0.70296,,,,,1.95,-91.18,-1988,SPREADING_CENTER;GALAPAGOS SPREADING CENTER,TRI0164-025,TR164,dredge,"basalt, basalt, ",fresh,"Schilling,1982(11); Verma,1982(3)",INAA(30); MS(25); MS-ID(26); WET(29)
